mileage_km,vehicle_age_months,power_kw,power_hp,electric_range_km,wltp_consumption_kwh_100km,seller_rating_stars,seller_rating_count,image_count,previous_owner_count,door_count,seat_count,warranty_months,battery_charging_time_min,price_per_kw,price_per_hp,price_per_range_km,mileage_per_month,variant,model_number_v2,seller_type,body_type,exterior_color,paint_type,interior_color,upholstery_material,city,is_conditional_price_clean,available_now_clean,warranty_exists_clean,has_full_service_history_clean,had_accident_clean,is_sportback,is_quattro,is_s_line,has_matrix,has_pano,has_ahk,has_hud,has_acc,has_camera,duplicate_listing_id,seller_has_rating,has_warranty_months,has_battery_info,has_city_range,has_charging_time,price_eur,sold_within_14d,listing_id
81811,39.0,150.0,204.0,,,4.5,52.0,15,,,,,,186.2,136.91176470588235,,2097.7179487179487,Q4 e-tron,40,Dealer,,,,,,Heilbronn,False,True,,,,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,27930,1.0,e3262e27-11be-466f-8fc9-bc9dadf09382
21155,26.0,150.0,204.0,466,,5.0,31.0,10,1.0,5.0,5.0,,,232.1,170.66176470588235,74.71030042918454,813.6538461538462,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Alsfeld,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,34815,1.0,9f0b172c-f56a-4d7f-9e79-e19f6c6cd6f0
88700,41.0,150.0,204.0,535,,4.0,9.0,15,1.0,5.0,5.0,12,,181.6,133.52941176470588,50.91588785046729,2163.4146341463415,Q4 e-tron Sportback,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Cloth,Höchstadt,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,1,1,0,0,0,27240,1.0,ad833358-9569-4b08-ba73-544c00bed9eb
31000,41.0,150.0,204.0,447,,4.0,7.0,5,1.0,5.0,5.0,,,196.2,144.26470588235293,65.83892617449665,756.0975609756098,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,Cloth,Weinsberg,False,True,True,True,False,False,False,False,True,False,False,True,True,True,False,1,0,0,0,0,29430,1.0,8bba3971-39b6-4f14-8e1f-64cbca09327a
55830,39.0,220.0,299.0,441,,5.0,8.0,1,1.0,5.0,5.0,12,,167.8590909090909,123.50836120401338,83.73922902494331,1431.5384615384614,Q4 e-tron,50,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Part leather,Bitterfeld-Wolfen,False,True,True,True,,False,True,True,True,True,True,False,False,False,False,1,1,0,0,0,36929,1.0,5337c862-84e7-4f22-adcf-dfaa3fbb1f8c
48500,42.0,150.0,204.0,536,,4.5,61.0,15,1.0,5.0,5.0,,,213.2,156.76470588235293,59.66417910447761,1154.7619047619048,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,,Black,Part leather,Würzburg,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,31980,1.0,c606d6f9-8c0c-4afb-b0f6-cf2be28ec04a
5969,9.0,210.0,286.0,412,,4.5,159.0,15,1.0,5.0,5.0,,,250.67142857142858,184.05944055944056,127.76941747572816,663.2222222222222,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Violet,Metallic,Black,Full leather,Eching,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,1,0,0,0,0,52641,1.0,44381988-b805-4bd3-b354-bd93d5ecfe75
69356,39.0,195.0,265.0,384,,5.0,10.0,10,1.0,5.0,,,,173.83589743589744,127.91698113207548,88.27604166666667,1778.3589743589744,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Grey,Full leather,Weinheim,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,1,0,0,0,0,33898,1.0,63c68176-aa5e-4885-941c-5159239f09d8
20247,38.0,220.0,299.0,511,20.2,4.5,8.0,15,1.0,5.0,,,,181.77272727272728,133.7458193979933,78.25831702544032,532.8157894736842,Q4 e-tron,50,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Euskirchen,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,1,0,0,0,0,39990,1.0,18f176d1-d405-4c7f-9eea-ffa5e72ae88f
85000,39.0,195.0,265.0,412,,4.0,44.0,7,1.0,4.0,,,,133.7948717948718,98.45283018867924,63.3252427184466,2179.4871794871797,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Sulzbach - Rosenberg,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,1,0,0,0,0,26090,1.0,6276f637-f62f-4b6b-b26e-fd02b7b1bc9d
56300,34.0,150.0,204.0,500,17.6,4.5,2.0,10,1.0,5.0,5.0,12,,216.33333333333334,159.0686274509804,64.9,1655.8823529411766,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Lübeck,False,True,True,True,,False,False,False,False,False,True,False,False,True,False,1,1,0,0,0,32450,1.0,b2f79592-d8c4-430c-a5bb-3f3cce2e2b66
7542,13.0,210.0,286.0,475,,4.5,31.0,15,1.0,5.0,5.0,,,233.14285714285714,171.1888111888112,103.07368421052631,580.1538461538462,Q4 e-tron,,Dealer,SUV/Off-Road/Pick-Up,White,Metallic,Black,,Bergheim,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,48960,1.0,67a5da82-f8c2-484e-b765-d7704edde2bd
