rank,title,price_eur,de_fair_price,de_discount_eur,it_predicted_price,gross_margin_eur,net_margin_eur,it_premium_pct,sale_prob_14d,arbitrage_score,model_number_v2,variant,mileage_km,vehicle_age_months,city,seller_name,listing_url
30,Audi Q4 e-tron Sportback 45 S-Line Matrix AHK ACC,33290,34640.594502048785,1350.5945020487852,38842.46,5552.4609375,3052.4609375,16.67906559777712,0.73497176,2243.0,,Q4 e-tron Sportback,51000,26.0,Sulzbach - Rosenberg,R.S. Automobile GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-s-line-matrix-ahk-acc-electric-grey-6d58d510-21ce-4633-aea9-abbb3832f80d
31,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat...",49995,52117.81107768975,2122.811077689752,55714.508,5719.5078125,3219.5078125,11.440159640964097,0.6913883,2226.0,,Q4 e-tron,10,1.0,Wörth a. d. Donau,Auto Hünn OHG,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-e9bcdb4c-3482-4a48-83ac-ed4b140e2155
32,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat...",49995,51377.759440892114,1382.759440892114,55714.508,5719.5078125,3219.5078125,11.440159640964097,0.6913883,2226.0,,Q4 e-tron,10,1.0,Wörth a. d. Donau,Auto Hünn OHG,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-466edc22-0617-4052-98d8-69e05e95e1b0
33,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ...",47995,49677.51493123293,1682.5149312329304,53846.863,5851.86328125,3351.86328125,12.192651903844155,0.5995899,2010.0,,Q4 e-tron,10,1.0,Wörth a. d. Donau,Auto Hünn OHG,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-grey-e1271860-3626-4160-9932-effacd6d9828
34,Audi Q4 e-tron Q4 35 e-tron LED/Navi/EPH/Assist/uvm. 35 e-tron,26730,26467.94109983994,-262.05890016006015,32949.46,6219.4609375,3719.4609375,23.26771768612046,0.5276919,1963.0,35,Q4 e-tron,22147,37.0,Reutlingen,bhg Autohandelsgesellschaft mbH,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-35-e-tron-led-navi-eph-assist-uvm-35-e-tron-electric-grey-fa82f419-7de6-47af-89bc-1cba24caa65c
35,Audi Q4 e-tron Sportback 45 e-tron S-Line Matrix SHZ,33990,34315.91251576082,325.9125157608214,40315.766,6325.765625,3825.765625,18.610666740217717,0.50999606,1951.0,45,Q4 e-tron Sportback,52000,22.0,Sulzbach - Rosenberg,R.S. Automobile GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-e-tron-s-line-matrix-shz-electric-black-2b3f32c4-57f3-49fa-8168-03f7eeb6a1f1
36,Audi Q4 e-tron 35 Wärmepumpe RFK PDC 3 Anschluss.Gar.,38200,39136.48618541585,936.4861854158517,43642.566,5442.56640625,2942.56640625,14.247556037303655,0.65964407,1941.0,,Q4 e-tron,5805,14.0,Simmern,Scherer GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-35-waermepumpe-rfk-pdc-3-anschluss-gar-electric-black-5bd83bd3-ebdf-4eba-902b-5f67b5234507
37,Audi Q4 e-tron Q4 35 e-tron LED NAVI+ PDC SHZ VIRT.,25730,25928.299224056078,198.29922405607795,31858.748,6128.748046875,3628.748046875,23.819463843276335,0.531547,1929.0,35,Q4 e-tron,38198,37.0,Ulm,Audi Zentrum Ulm Gebrauchtwagen,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-35-e-tron-led-navi-pdc-shz-virt-electric-black-efe11cbc-d179-4815-9ff5-3b4ad2baca97
38,Audi Q4 e-tron Sportback 35 PDC+KLIMA+GARANTIE,26990,28689.587298184968,1699.587298184968,32300.094,5310.09375,2810.09375,19.67430066691367,0.6755899,1898.0,,Q4 e-tron Sportback,14190,38.0,Bonn,Heinrich Thomas GmbH + Co.KG,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-35-pdc-klima-garantie-electric-grey-030e4e61-ab32-409b-b85c-c2b762af7acb
39,Audi Q4 e-tron,25630,26030.19725310358,400.197253103579,30950.996,5320.99609375,2820.99609375,20.760811914748345,0.66219884,1868.0,,Q4 e-tron,59964,36.0,Geilenkirchen,Audi Zentrum Aachen Jacobs Automobile GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-06ac8ea8-d709-4285-8920-a0ab0eaad354
40,Audi Q4 e-tron Q4 45 e-tron quattro LED/SONOS/SpoSi,45690,45900.78192686965,210.78192686964758,51141.445,5451.4453125,2951.4453125,11.931375164149705,0.59482926,1756.0,45,Q4 e-tron,8962,10.0,Wolfsburg,Audi Zentrum Wolfsburg GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-quattro-led-sonos-sposi-electric-white-239a34eb-917d-4fc2-a6c5-8cd669e7cde4
